Algorithm,Accuracy,Precision,Recall/Sensitivity,Specificity,F1-Score,ROC-AUC
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9761904761904762,0.9861111111111112,0.9953703703703703
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9285714285714286,0.9655172413793104,0.9932208994708995
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9761904761904762,0.9861111111111112,0.9950396825396826
